0,607.73,2120.01,2232.06,1886.15,1794.08,1198.13,1784.83,1655.44,2132.7,1599.97,2307.43
607.73,0,1675.29,1728.78,1456.86,1365.88,772.06,1360.06,1220.32,1697.37,1218.03,1945.79
2120.01,1675.29,0,275.28,1170.62,1075.1,476.49,1050.68,927.15,1398.14,1776.45,2526.5
2232.06,1728.78,275.28,0,1369.39,1278.01,671.23,1243.59,1113.9,1606.82,1997.71,2754.58
1886.15,1456.86,1170.62,1369.39,0,94.15,739.09,73.05,319.12,441.2,821.32,1574.15
1794.08,1365.88,1075.1,1278.01,94.15,0,649.96,109.26,232.94,478.12,852.89,1611.19
1198.13,772.06,476.49,671.23,739.09,649.96,0,627.04,493.06,978.68,1355.65,2124.97
1784.83,1360.06,1050.68,1243.59,73.05,109.26,627.04,0,210.65,373.08,755.23,1515.45
1655.44,1220.32,927.15,1113.9,319.12,232.94,493.06,210.65,0,569.89,943.23,1694.27
2132.7,1697.37,1398.14,1606.82,441.2,478.12,978.68,373.08,569.89,0,409.94,1155.8
1599.97,1218.03,1776.45,1997.71,821.32,852.89,1355.65,755.23,943.23,409.94,0,780.84
2307.43,1945.79,2526.5,2754.58,1574.15,1611.19,2124.97,1515.45,1694.27,1155.8,780.84,0