0,0.057,0.122,0.061,0.095,0.122,0.175,0.157,0.187,0.152,0.123,0.171
0.057,0,0.171,0.08,0.148,0.177,0.229,0.225,0.253,0.216,0.16,0.22
0.122,0.171,0,0.047,0.109,0.129,0.147,0.148,0.195,0.158,0.11,0.172
0.061,0.08,0.047,0,0.073,0.086,0.135,0.12,0.165,0.128,0.079,0.142
0.095,0.148,0.109,0.073,0,0.049,0.024,0.029,0.057,0.041,0.008,0.046
0.122,0.177,0.129,0.086,0.049,0,0.065,0.04,0.086,0.057,0.037,0.072
0.175,0.229,0.147,0.135,0.024,0.065,0,0.012,0.019,0.011,0.008,0.01
0.157,0.225,0.148,0.12,0.029,0.04,0.012,0,0.022,0.015,0.013,0.007
0.187,0.253,0.195,0.165,0.057,0.086,0.019,0.022,0,0.006,0.026,0.012
0.152,0.216,0.158,0.128,0.041,0.057,0.011,0.015,0.006,0,0.007,0.003
0.123,0.16,0.11,0.079,0.008,0.037,0.008,0.013,0.026,0.007,0,0.007
0.171,0.22,0.172,0.142,0.046,0.072,0.01,0.007,0.012,0.003,0.007,0