pair,fst_type,fst,km
SUN.LBT,all,0.01,607.73
SUN.MGD,all,0.003,2120.01
SUN.NTS,all,0.005,2232.06
SUN.PSB,all,0.005,1886.15
SUN.BOF,all,0.01,1794.08
SUN.SSM,all,0.006,1198.13
SUN.GMI,all,0.005,1784.83
SUN.SSB,all,0.009,1655.44
SUN.GMO,all,0.006,2132.7
SUN.GEO,all,0.01,1599.97
SUN.MDA,all,0.007,2307.43
LTB.MGD,all,0.011,1675.29
LTB.NTS,all,0.014,1728.78
LTB.PSB,all,0.014,1456.86
LTB.BOF,all,0.016,1365.88
LTB.SSM,all,0.015,772.06
LTB.GMI,all,0.016,1360.06
LTB.SSB,all,0.017,1220.32
LTB.GMO,all,0.014,1697.37
LTB.GEO,all,0.018,1218.03
LTB.MDA,all,0.015,1945.79
MGD.NTS,all,0.002,275.28
MGD.PSB,all,0.004,1170.62
MGD.BOF,all,0.006,1075.1
MGD.SSM,all,0.006,476.49
MGD.GMI,all,0.005,1050.68
MGD.SSB,all,0.007,927.15
MGD.GMO,all,0.004,1398.14
MGD.GEO,all,0.007,1776.45
MGD.MDA,all,0.006,2526.5
NTS.PSB,all,0.004,1369.39
NTS.BOF,all,0.009,1278.01
NTS.SSM,all,0.007,671.23
NTS.GMI,all,0.005,1243.59
NTS.SSB,all,0.009,1113.9
NTS.GMO,all,0.004,1606.82
NTS.GEO,all,0.009,1997.71
NTS.MDA,all,0.007,2754.58
PSB.BOF,all,-0.003,94.15
PSB.SSM,all,-0.001,739.09
PSB.GMI,all,0.004,73.05
PSB.SSB,all,-0.002,319.12
PSB.GMO,all,-0.003,441.2
PSB.GEO,all,0.002,821.32
PSB.MDA,all,-0.002,1574.15
BOF.SSM,all,0.003,649.96
BOF.GMI,all,-0.003,109.26
BOF.SSB,all,0.001,232.94
BOF.GMO,all,0.001,478.12
BOF.GEO,all,0.001,852.89
BOF.MDA,all,0,1611.19
SSM.GMI,all,0,627.04
SSM.SSB,all,0.003,493.06
SSM.GMO,all,0.002,978.68
SSM.GEO,all,0.003,1355.65
SSM.MDA,all,0.002,2124.97
GMI.SSB,all,-0.003,210.65
GMI.GMO,all,-0.002,373.08
GMI.GEO,all,-0.001,755.23
GMI.MDA,all,-0.004,1515.45
SSB.GMO,all,0.001,569.89
SSB.GEO,all,0,943.23
SSB.MDA,all,0,1694.27
GMO.GEO,all,0,409.94
GMO.MDA,all,0,1155.8
GEO.MDA,all,0,780.84
SUN.LBT,outliers,0.057,607.73
SUN.MGD,outliers,0.122,2120.01
SUN.NTS,outliers,0.061,2232.06
SUN.PSB,outliers,0.095,1886.15
SUN.BOF,outliers,0.122,1794.08
SUN.SSM,outliers,0.175,1198.13
SUN.GMI,outliers,0.157,1784.83
SUN.SSB,outliers,0.187,1655.44
SUN.GMO,outliers,0.152,2132.7
SUN.GEO,outliers,0.123,1599.97
SUN.MDA,outliers,0.171,2307.43
LTB.MGD,outliers,0.171,1675.29
LTB.NTS,outliers,0.08,1728.78
LTB.PSB,outliers,0.148,1456.86
LTB.BOF,outliers,0.177,1365.88
LTB.SSM,outliers,0.229,772.06
LTB.GMI,outliers,0.225,1360.06
LTB.SSB,outliers,0.253,1220.32
LTB.GMO,outliers,0.216,1697.37
LTB.GEO,outliers,0.16,1218.03
LTB.MDA,outliers,0.22,1945.79
MGD.NTS,outliers,0.047,275.28
MGD.PSB,outliers,0.109,1170.62
MGD.BOF,outliers,0.129,1075.1
MGD.SSM,outliers,0.147,476.49
MGD.GMI,outliers,0.148,1050.68
MGD.SSB,outliers,0.195,927.15
MGD.GMO,outliers,0.158,1398.14
MGD.GEO,outliers,0.11,1776.45
MGD.MDA,outliers,0.172,2526.5
NTS.PSB,outliers,0.073,1369.39
NTS.BOF,outliers,0.086,1278.01
NTS.SSM,outliers,0.135,671.23
NTS.GMI,outliers,0.12,1243.59
NTS.SSB,outliers,0.165,1113.9
NTS.GMO,outliers,0.128,1606.82
NTS.GEO,outliers,0.079,1997.71
NTS.MDA,outliers,0.142,2754.58
PSB.BOF,outliers,0.049,94.15
PSB.SSM,outliers,0.024,739.09
PSB.GMI,outliers,0.029,73.05
PSB.SSB,outliers,0.057,319.12
PSB.GMO,outliers,0.041,441.2
PSB.GEO,outliers,0.008,821.32
PSB.MDA,outliers,0.046,1574.15
BOF.SSM,outliers,0.065,649.96
BOF.GMI,outliers,0.04,109.26
BOF.SSB,outliers,0.086,232.94
BOF.GMO,outliers,0.057,478.12
BOF.GEO,outliers,0.037,852.89
BOF.MDA,outliers,0.072,1611.19
SSM.GMI,outliers,0.012,627.04
SSM.SSB,outliers,0.019,493.06
SSM.GMO,outliers,0.011,978.68
SSM.GEO,outliers,0.008,1355.65
SSM.MDA,outliers,0.01,2124.97
GMI.SSB,outliers,0.022,210.65
GMI.GMO,outliers,0.015,373.08
GMI.GEO,outliers,0.013,755.23
GMI.MDA,outliers,0.007,1515.45
SSB.GMO,outliers,0.006,569.89
SSB.GEO,outliers,0.026,943.23
SSB.MDA,outliers,0.012,1694.27
GMO.GEO,outliers,0.007,409.94
GMO.MDA,outliers,0.003,1155.8
GEO.MDA,outliers,0.007,780.84